Cash Balance,,,,,,,,,,,,,,
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE,,,,,,
1/1/24,01:00:00,BAL,,Cash balance at the start of business day 01.01 CST,,,,100000000,,,,,,
1/2/24,01:00:00,BAL,,Cash balance at the start of business day 02.01 CST,,,,100000000,,,,,,
1/2/24,11:48:59,TRD,1765473304,"BOT +150,000 AMZN @150.29",,,-22543500,77456500,,,,,,
1/2/24,11:49:36,TRD,1765473316,"BOT +150,000 SMH @170.41",,,-25561500,51895000,,,,,,
1/2/24,12:14:59,TRD,1765487917,"BOT +130,000 SPOT @189.04",,,-24575200,27319800,,,,,,
1/3/24,01:00:00,BAL,,Cash balance at the start of business day 03.01 CST,,,,27319800,,,,,,
,,,,TOTAL,,,"($72,680,200.00)","$27,319,800.00",,,,,,
,,,,,,,,,,,,,,
Futures Statements,,,,,,,,,,,,,,
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance,,,,,
,,,,,,,,,,,,,,
Forex Statements,,,,,,,,,,,,,,
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance,,,,,
,1/1/24,01:00:00,BAL,--,Cash balance at the start of the business day 01.01 CST.,--,--,--,"$10,000.00",,,,,
,1/2/24,01:00:00,BAL,--,Cash balance at the start of the business day 02.01 CST.,--,--,--,"$10,000.00",,,,,
,1/3/24,01:00:00,BAL,--,Cash balance at the start of the business day 03.01 CST.,--,--,--,"$10,000.00",,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Total Cash $27,319,800.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Account Order History,,,,,,,,,,,,,,
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,1/2/24 12:14:56,STOCK,BUY,130000,TO OPEN,SPOT,,,STOCK,~,MKT,DAY,FILLED
,,1/2/24 11:49:32,STOCK,BUY,150000,TO OPEN,SMH,,,ETF,~,MKT,DAY,FILLED
,,1/2/24 11:48:54,STOCK,BUY,150000,TO OPEN,AMZN,,,STOCK,~,MKT,DAY,FILLED
,,,,,,,,,,,,,,
Account Trade History,,,,,,,,,,,,,,
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type,,
,1/2/24 12:14:59,STOCK,BUY,130000,TO OPEN,SPOT,,,STOCK,189.04,189.04,MKT,,
,1/2/24 11:49:36,STOCK,BUY,150000,TO OPEN,SMH,,,ETF,170.41,170.41,MKT,,
,1/2/24 11:48:59,STOCK,BUY,150000,TO OPEN,AMZN,,,STOCK,150.29,150.29,MKT,,
,,,,,,,,,,,,,,
Equities,,,,,,,,,,,,,,
Symbol,Description,Qty,Trade Price,Mark,P/L Day,P/L Open,P/L %,Mark Value,,,,,,
AMZN,AMAZON COM INC COM,150000,150.29,149.49,"($66,000.00)","($120,000.00)",-0.53%,"$22,423,500.00",,,,,,
SPOT,SPOTIFY TECHNOLOGY S.A. COM,130000,189.04,186.85,"($253,500.00)","($284,700.00)",-1.16%,"$24,290,500.00",,,,,,
SMH,VANECK ETF TRUST SEMICONDUCTOR ETF,150000,170.41,166.16,"($421,500.00)","($637,500.00)",-2.49%,"$24,924,000.00",,,,,,
,OVERALL TOTALS,,,,"($741,000.00)","($1,042,200.00)",-1.43%,"$71,638,000.00",,,,,,
,,,,,,,,,,,,,,
Profits and Losses,,,,,,,,,,,,,,
Symbol,Description,P/L Open,P/L %,P/L Day,P/L YTD,P/L Diff,Margin Req,Mark Value,,,,,,
AMZN,AMAZON COM INC COM,"($120,000.00)",-0.53%,"($66,000.00)","($120,000.00)","($120,000.00)","$11,211,750.00","$22,423,500.00",,,,,,
SMH,VANECK ETF TRUST SEMICONDUCTOR ETF,"($637,500.00)",-2.49%,"($421,500.00)","($637,500.00)","($637,500.00)","$12,462,000.00","$24,924,000.00",,,,,,
SPOT,SPOTIFY TECHNOLOGY S.A. COM,"($284,700.00)",-1.16%,"($253,500.00)","($284,700.00)","($284,700.00)","$12,145,250.00","$24,290,500.00",,,,,,
,OVERALL TOTALS,"($1,042,200.00)",-1.43%,"($741,000.00)","($1,042,200.00)","($1,042,200.00)","$35,819,000.00","$71,638,000.00",,,,,,
,,,,,,,,,,,,,,
Forex Account Summary,,,,,,,,,,,,,,
Forex Cash,"$10,000.00",,,,,,,,,,,,,
Forex Unrealized P/L,$0.00,,,,,,,,,,,,,
Forex Floating P/L,$0.00,,,,,,,,,,,,,
Forex Equity,"$10,000.00",,,,,,,,,,,,,
Forex Margin,$0.00,,,,,,,,,,,,,
Forex Buying Power,"$10,000.00",,,,,,,,,,,,,
Forex Risk Level,0.00%,,,,,,,,,,,,,
Forex Commissions YTD,$0.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Account Summary,,,,,,,,,,,,,,
Net Liquidating Value,"$98,957,800.00",,,,,,,,,,,,,
Stock Buying Power,"$126,277,600.00",,,,,,,,,,,,,
Option Buying Power,"$63,138,800.00",,,,,,,,,,,,,
Equity Commissions & Fees YTD,$0.00,,,,,,,,,,,,,
Futures Commissions & Fees YTD,$0.00,,,,,,,,,,,,,
Total Commissions & Fees YTD,$0.00,,,,,,,,,,,,,
